PC	SINGULAR_VALUES
1	339.2728304967016
2	244.59408417336323
3	153.6391094131524
4	133.9570739425309
5	126.38883278551259
6	114.13539751967082
7	104.53094834170078
8	97.06095570632769
9	89.20251948282562
10	85.47260142039754
11	82.0797308154648
12	79.64903201349621
13	76.98140448971405
14	72.77214990302724
15	72.03279881255754
16	70.0878799752534
17	68.24365958764109
18	65.40081229968186
19	64.3910834744809
20	63.76902092960339
21	61.1775246624085
22	61.025441084797635
23	60.432389834212856
24	59.518935384937315
25	59.3747648711352
26	59.13338621783586
27	58.86072505963834
28	58.482390551672864
29	58.20353668041831
30	57.640575785312556
31	57.55296794708234
32	57.33161747432226
33	57.13053735868307
34	56.555896941292815
35	56.1515920889687
36	55.94215699150779
37	55.83195214576569
38	55.63278208192311
39	55.53319113691798
40	55.407305599895786
41	55.20660320250643
42	55.108188702768736
43	54.94974016261209
44	54.93127555162711
45	54.84287199691639
46	54.79982592438325
47	54.72682454818707
48	54.65094749832807
49	54.59019407387743
50	54.509653313701506
51	54.485302635702276
52	54.40974819696881
53	54.385019794899165
54	54.349047727264065
55	54.311791107943776
56	54.27434636840821
57	54.25126720248659
58	54.238169194339534
59	54.19837890521534
60	54.18310919376637
61	54.1711348554765
62	54.12338319026631
63	54.11979338090895
64	54.08908866370021
65	54.072219437109176
66	54.05865890428285
67	54.02734513074229
68	54.01491189301741
69	54.00327187903279
70	53.97054050685166
71	53.94375364455522
72	53.922745493274036
73	53.90812760263256
74	53.904910892170946
75	53.87034461238097
76	53.862037267332155
77	53.84147546541769
78	53.83737460202047
79	53.81028922903871
80	53.808325791081835
81	53.80094142513149
82	53.778811163852396
83	53.75985422257012
84	53.755073723255514
85	53.734385580786466
86	53.712521724665265
87	53.70192341488687
88	53.69483882404594
89	53.678464226242475
90	53.67448278617441
91	53.65891538240233
92	53.63581089003254
93	53.599094640119525
94	53.592063562163496
95	53.58423066936635
96	53.576600053784645
97	53.567992466621284
98	53.55275901071626
99	53.537423243548034
100	53.52303600993805
101	53.52058882938656
102	53.510635559536325
103	53.49996800250313
104	53.48850603963934
105	53.469360517941126
106	53.46061368680987
107	53.44105120292055
108	53.42321190627051
109	53.419034105569786
110	53.40286920093879
111	53.3918515299018
112	53.384321420754205
113	53.36550979112225
114	53.3590059645081
115	53.34158083258701
116	53.33613235546081
117	53.32108361980937
118	53.31097816958053
119	53.29937038463752
120	53.286079082818986
121	53.27969571943984
122	53.26908577110017
123	53.2479650180664
124	53.24085719413874
125	53.23827179655894
126	53.219694076185974
127	53.20740871417609
128	53.195850696305136
129	53.18678085723669
130	53.17526909023376
131	53.15871010384158
132	53.14288434500208
133	53.135565989493294
134	53.12629903732927
135	53.11615926090663
136	53.11199791505566
137	53.090892397236324
138	53.082123289718425
139	53.07197874954581
140	53.05728450009547
141	53.049403058959875
142	53.04507062930497
143	53.03806155010987
144	53.02439454437919
145	53.01747136316402
146	52.99821653439837
147	52.99420265211768
148	52.98061074288229
149	52.96250881597078
150	52.947909450170584
151	52.93743707490316
152	52.9339343474648
153	52.93154850541599
154	52.917901429463186
155	52.90109595184223
156	52.892998606179326
157	52.87785289574174
158	52.87112524410963
159	52.861914012001485
160	52.85493772337657
161	52.84016631616528
162	52.82908976465425
163	52.81785404253046
164	52.80807023569818
165	52.79866348980044
166	52.79585391509927
167	52.766455887956496
168	52.74767390439142
169	52.74481016291742
170	52.733952950684845
171	52.722186542069274
172	52.714419680085356
173	52.70479615853235
174	52.701216960542844
175	52.6953154685583
176	52.67369253682238
177	52.668349571586276
178	52.66610849101705
179	52.65265135525511
180	52.643259684790145
181	52.62907804998373
182	52.61896759853963
183	52.608355426964245
184	52.60215536218069
185	52.594572518768715
186	52.58259104698682
187	52.576825230962754
188	52.56986297798244
189	52.5627453014852
190	52.55051911262064
191	52.53495474094541
192	52.51678533048318
193	52.509057432725825
194	52.491292666459216
195	52.47766139246358
196	52.4714669860931
197	52.46281165200504
198	52.45297502829627
199	52.44160859500056
200	52.42977218653077
