SAMPLE_ID	MEAN_COV	MEDIAN_COV	SD_COV	MAD_COV	IQR_COV	HQ_MEAN_COV	HQ_MEDIAN_COV	HQ_SD_COV	HQ_MAD_COV	HQ_IQR_COV
HG00096	33.7651	33.9600	107.3539	2.6400	5.2900	34.4227	34.2300	3.5632	2.2800	4.5700
HG00097	32.4636	32.6000	113.6015	2.7100	5.4200	33.0926	32.9300	3.5279	2.3200	4.6400
HG00099	37.5145	37.7700	143.6816	3.0300	6.0700	38.4594	38.3000	3.9326	2.5900	5.1800
HG00100	31.1087	31.3800	86.8729	2.4300	4.8500	31.8355	31.7300	3.1827	2.1000	4.2000
HG00101	33.8195	34.0300	127.0199	2.6500	5.3000	34.4799	34.3200	3.5247	2.2800	4.5700
HG00102	31.8081	32.0800	117.7248	2.5200	5.0300	32.6271	32.5000	3.3062	2.1800	4.3600
HG00103	32.3282	32.4100	125.3954	2.7400	5.4700	32.9695	32.7900	3.6339	2.3500	4.7100
HG00105	29.3716	29.6200	96.0148	2.3900	4.7700	30.1218	30.0300	3.1327	2.0700	4.1300
HG00106	35.9214	36.2300	112.5512	2.6000	5.2100	36.7580	36.6500	3.4320	2.2600	4.5200
HG00107	32.8832	33.0900	111.9110	2.5700	5.1300	33.6044	33.4700	3.3939	2.2400	4.4800
HG00108	32.5044	32.7300	130.1239	2.5700	5.1300	33.2575	33.1700	3.3468	2.2100	4.4200
HG00109	35.8153	36.1600	109.5939	2.7400	5.4900	36.7738	36.6500	3.5570	2.3500	4.7000
HG00110	31.3151	31.4900	115.2193	2.5200	5.0400	32.0087	31.8700	3.3339	2.1800	4.3600
HG00111	32.7719	33.0700	103.6679	2.9200	5.8500	33.5253	33.3800	3.6548	2.4300	4.8600
HG00112	32.6374	32.9200	129.6081	2.5100	5.0300	33.4497	33.3200	3.3498	2.1800	4.3700
HG00113	29.7262	29.8900	102.4668	2.3900	4.7900	30.3477	30.2000	3.2202	2.0800	4.1600
HG00114	33.3425	33.6300	119.6692	2.5500	5.1100	34.1636	34.0500	3.3874	2.2200	4.4400
HG00115	29.3333	29.4300	107.7766	2.3900	4.7700	29.8915	29.7800	3.1675	2.0800	4.1700
HG00116	43.9368	44.4700	151.0142	3.0200	6.0400	45.1032	45.0000	3.9416	2.6000	5.2000
HG00117	38.3273	38.6600	126.2254	2.8200	5.6300	39.2098	39.0600	3.7267	2.4400	4.8800
HG00118	34.4206	34.6800	116.9425	2.5900	5.1900	35.1194	34.9800	3.4432	2.2400	4.4900
HG00119	34.8408	35.1700	118.1525	2.7700	5.5500	35.6682	35.5900	3.5507	2.3700	4.7400
HG00120	37.8843	38.3200	109.7963	2.8000	5.6000	38.8582	38.7100	3.6860	2.4100	4.8200
HG00121	32.3683	32.5900	109.1636	2.5600	5.1200	33.0130	32.8700	3.3805	2.2000	4.4100
HG00122	34.7937	34.9300	125.4037	2.7200	5.4400	35.4519	35.2300	3.7076	2.3400	4.7000
HG00123	31.2985	31.5500	102.0445	2.5000	5.0000	31.9702	31.8200	3.3324	2.1700	4.3500
HG00125	29.2898	29.5900	86.7185	2.3400	4.6800	30.0394	29.9400	3.0730	2.0300	4.0800
HG00126	42.1560	42.3600	143.2753	3.6500	7.3100	43.1464	42.8400	4.7397	3.0400	6.0900
HG00127	34.7016	34.8800	126.1558	2.6600	5.3200	35.3186	35.1600	3.5130	2.3000	4.6100
HG00128	42.6422	42.6000	151.2654	3.2000	6.4000	43.1932	42.7900	4.5815	2.7300	5.4900
HG00129	30.0350	30.3700	106.2387	2.3800	4.7600	30.8797	30.8200	3.1041	2.0600	4.1300
HG00130	30.5867	30.9700	112.1991	2.4100	4.8300	31.4988	31.4300	3.1346	2.0800	4.1700
HG00131	32.9551	33.3100	99.7129	2.4000	4.8100	33.7908	33.7100	3.1562	2.1000	4.2000
HG00132	31.4549	31.7400	108.8266	2.6700	5.3400	32.3745	32.2100	3.5537	2.3200	4.6500
HG00133	49.6933	50.2100	156.4005	3.3700	6.7500	50.9139	50.7000	4.4756	2.8800	5.7700
HG00136	31.6642	31.8300	111.1137	2.5500	5.1000	32.3721	32.2300	3.3832	2.2200	4.4500
HG00137	32.5980	32.9700	117.8748	2.4800	4.9600	33.3740	33.2900	3.2537	2.1500	4.3000
HG00138	34.3249	34.7100	95.4830	2.6700	5.3500	35.1954	35.0500	3.4922	2.2800	4.5700
HG00139	34.0519	34.2700	140.9846	2.5700	5.1500	34.7840	34.6900	3.3640	2.2100	4.4300
HG00140	32.6187	32.6900	126.1661	2.7300	5.4600	33.2195	33.0400	3.6236	2.3500	4.7100
HG00141	33.3782	33.7600	104.2223	2.5100	5.0400	34.2467	34.1900	3.2798	2.1800	4.3600
HG00142	32.1765	31.8300	121.7418	2.9100	5.8400	32.9392	32.2200	4.7104	2.5600	5.1800
HG00143	32.5710	32.9100	83.1285	2.6100	5.2200	33.4702	33.3800	3.3730	2.2400	4.4900
HG00145	30.2788	30.4100	106.8181	2.6200	5.2300	30.8999	30.7000	3.4935	2.2500	4.5100
HG00146	42.4382	42.7900	138.3958	2.9300	5.8600	43.3865	43.2300	3.8960	2.5400	5.0800
HG00148	29.8680	29.9900	104.7551	2.3700	4.7300	30.4733	30.3000	3.2431	2.0700	4.1600
HG00149	32.5375	32.6800	101.8476	2.7500	5.5000	33.2376	33.0600	3.6154	2.3600	4.7300
HG00150	38.9500	39.2600	126.6641	2.9100	5.8200	39.8755	39.7000	3.8502	2.5100	5.0200
HG00151	34.9823	35.1600	124.8525	2.7700	5.5400	35.6697	35.5100	3.6298	2.3800	4.7600
HG00154	33.2134	33.5100	123.5081	2.7300	5.4500	34.0797	33.9200	3.5673	2.3200	4.6400
HG00155	30.5948	30.7700	102.1307	2.5000	5.0100	31.2795	31.1600	3.2963	2.1700	4.3500
HG00157	30.5317	30.6400	102.4997	2.6400	5.2800	31.1266	30.9500	3.4644	2.2400	4.4900
HG00158	35.6347	35.9300	132.9475	2.8400	5.6700	36.5419	36.3800	3.7288	2.4400	4.8700
HG00159	33.8861	34.1200	104.9816	2.6300	5.2700	34.6361	34.5200	3.4445	2.2700	4.5400
HG00160	32.4807	32.7100	103.1194	2.5700	5.1500	33.1903	33.0700	3.3813	2.2200	4.4400
HG00171	34.6132	34.9900	129.5146	2.6200	5.2300	35.4941	35.3700	3.4542	2.2600	4.5300
HG00173	30.2426	30.3800	105.7178	2.4800	4.9500	30.8637	30.7200	3.2819	2.1400	4.2800
HG00174	33.7258	34.0000	125.5950	2.5700	5.1400	34.4948	34.4000	3.3384	2.2200	4.4500
HG00176	33.9214	34.1200	113.5020	2.8400	5.6700	34.6079	34.4600	3.6765	2.4100	4.8200
HG00177	30.9265	31.1700	99.4695	2.4100	4.8200	31.6580	31.5600	3.1926	2.1000	4.2100
HG00178	31.5902	31.8200	93.3407	2.5000	5.0000	32.3356	32.2000	3.3291	2.1900	4.3900
HG00179	31.1109	31.4400	114.4113	2.4500	4.9000	31.9522	31.8300	3.2515	2.1100	4.2400
HG00180	34.4662	34.6800	110.5386	2.6700	5.3500	35.2127	35.0500	3.5516	2.3200	4.6400
HG00181	32.8060	33.0600	98.3033	2.5400	5.0900	33.5809	33.4400	3.3963	2.2300	4.4600
HG00182	33.3710	33.6400	106.6534	2.4200	4.8500	34.1335	34.0400	3.2145	2.1200	4.2400
HG00183	31.6032	31.8200	102.3361	2.5500	5.1000	32.3086	32.1400	3.3933	2.2000	4.4100
