SAMPLE_ID	MEAN_AUTOSOMAL_COV	X_COV_RATIO	Y_COV_RATIO	INFERRED_SEX	PCT_MAPPED	PCT_DUPLICATE	TOTAL_BASES	POPULATION	SUPERPOPULATION	REPORTED_SEX	RELATEDNESS	RELEASE_BATCH	CENTER_NAME	STUDY_ID	INSTRUMENT_MODEL	LIBRARY_NAME
HG00096	33.7659	0.5044	0.4051	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00096
HG00097	32.4631	0.9571	0.0576	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00097
HG00099	37.5130	0.9605	0.0570	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00099
HG00100	31.1091	0.9711	0.0588	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00100
HG00101	33.8207	0.5027	0.4187	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00101
HG00102	31.8089	0.9730	0.0594	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00102
HG00103	32.3276	0.5002	0.3854	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00103
HG00105	29.3727	0.5011	0.3837	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00105
HG00106	35.9210	0.9802	0.0624	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00106
HG00107	32.8834	0.5079	0.3944	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00107
HG00108	32.5048	0.5036	0.4049	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00108
HG00109	35.8161	0.5045	0.3959	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00109
HG00110	31.3143	0.9622	0.0632	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00110
HG00111	32.7716	0.9585	0.0503	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00111
HG00112	32.6366	0.5016	0.3928	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00112
HG00113	29.7267	0.5043	0.4020	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00113
HG00114	33.3436	0.5044	0.4052	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00114
HG00115	29.3342	0.5028	0.3951	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00115
HG00116	43.9383	0.5066	0.3969	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00116
HG00117	38.3275	0.5075	0.4219	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00117
HG00118	34.4215	0.9555	0.0532	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00118
HG00119	34.8408	0.5006	0.3754	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00119
HG00120	37.8853	0.9692	0.0578	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00120
HG00121	32.3689	0.9753	0.0581	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00121
HG00122	34.7935	0.9660	0.0606	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00122
HG00123	31.2987	0.9716	0.0629	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00123
HG00125	29.2898	0.9751	0.0621	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00125
HG00126	42.1553	0.4974	0.3720	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00126
HG00127	34.7026	0.9685	0.0694	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00127
HG00128	42.6435	0.9657	0.0570	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00128
HG00129	30.0344	0.5087	0.4115	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00129
HG00130	30.5882	0.9625	0.0536	F	NA	NA	NA	GBR	unrel	F	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00130
HG00131	32.9561	0.5095	0.4108	M	NA	NA	NA	GBR	unrel	M	unrelated	2504	NYGC	ERP114329	Illumina NovaSeq 6000	HG00131
